x y velocity
7.800000000012485835e-01 4.099999999999761613e-01 -1.533691371107468414e-02
7.714563281630606451e-01 3.900858392972036404e-01 1.743150031282154622e-01
7.608329533713092951e-01 4.000774859114977211e-01 2.114140337124369509e-02
7.700000000000999378e-01 4.100000000000004197e-01 -1.517788306802830660e-02
7.807112219485865534e-01 4.000607797304826518e-01 2.675468314741018261e-02
7.707716690687286265e-01 4.000685074742758585e-01 2.476279496589076437e-02
8.809963485039271625e-01 2.691658604936398302e-01 2.857385355649776137e+00
9.007712587556040429e-01 2.693702805763699137e-01 2.803486075072584516e+00
9.005404177107014796e-01 2.515355312458079085e-01 2.245663828523793093e+00
8.807141793901167581e-01 2.513043471052987532e-01 2.532232347171276210e+00
8.908789689015873536e-01 2.692692859088877677e-01 2.834576661204740500e+00
9.006628226551276484e-01 2.604480798090993976e-01 2.592927987961162639e+00
8.906234770069642037e-01 2.514214616316576834e-01 2.394176266546488296e+00
8.808638387548145543e-01 2.602295376411755679e-01 2.753271174691764411e+00
8.907589702006107890e-01 2.603401818648804489e-01 2.680496419352690562e+00
8.812212266115705406e-01 2.893164680877824413e-01 2.809652357498570119e+00
8.615340975892629150e-01 2.891450619570106739e-01 2.780882688699402916e+00
8.612620541816442543e-01 2.689558673040445269e-01 2.886589633430745927e+00
8.809963485039271625e-01 2.691658604936398302e-01 2.857385355649776137e+00
8.713715307263003584e-01 2.892306001827391615e-01 2.792738143830858277e+00
8.614145232545402653e-01 2.790449720325497429e-01 2.857403284222876039e+00
8.711238867056524393e-01 2.690609796299392453e-01 2.873684818647370687e+00
8.811223346597826245e-01 2.792362590632919694e-01 2.869699816657023117e+00
8.712626518657972108e-01 2.791405834399097730e-01 2.862211512139337888e+00
8.616643617069169592e-01 3.093661235944651922e-01 2.534311027140376815e+00
8.420527770248285027e-01 3.092444052530817222e-01 2.525438693732112938e+00
8.418976102769417658e-01 2.889808779230474967e-01 2.776113854340206188e+00
8.615340975892629150e-01 2.891450619570106739e-01 2.780882688699402916e+00
8.518517692689315801e-01 3.093035583341223749e-01 2.526722098462619304e+00
8.419978432799051227e-01 2.991101659427460313e-01 2.662933302455788631e+00
8.517093437242716503e-01 2.890612532187825101e-01 2.775101305075398539e+00
8.616180948006205709e-01 2.992531615990038918e-01 2.671069221111403991e+00
8.518012546950181063e-01 2.991799293995107134e-01 2.663618536612743171e+00
8.420196110862275818e-01 3.295128491784845570e-01 2.165788544113063097e+00
8.224540939505835535e-01 3.294503182367112815e-01 2.177821591233373155e+00
8.224958071640701140e-01 3.091437702544252430e-01 2.542852615036026886e+00
8.420527770248285027e-01 3.092444052530817222e-01 2.525438693732112938e+00
8.322303571687784673e-01 3.294785408063006238e-01 2.169076952326380425e+00
8.225037557303609415e-01 3.192988787568659115e-01 2.376982133896959226e+00
8.322674846914300817e-01 3.091904381683401870e-01 2.530762721638200929e+00
8.420604775484016313e-01 3.193798996672399526e-01 2.362040594501136237e+00
8.322754150927351713e-01 3.193360117577478952e-01 2.366412586221235070e+00
8.221786067463028314e-01 3.497253087691077900e-01 1.626491156141169681e+00
8.026110990901144104e-01 3.497186298278876504e-01 1.649700327076763173e+00
8.029381886558705217e-01 3.294202370987414641e-01 2.212381355866316568e+00
8.224540939505835535e-01 3.294503182367112815e-01 2.177821591233373155e+00
8.123897872001919485e-01 3.497182932868406757e-01 1.636125621326770307e+00
8.028092373443210805e-01 3.395765140535781934e-01 1.960891105714271720e+00
8.126903187814182861e-01 3.294301274025166482e-01 2.192221143556316143e+00
8.223458425114641424e-01 3.395938892794151953e-01 1.932512061716644469e+00
8.125720681626396047e-01 3.395807710898152698e-01 1.944208888355848153e+00
8.020069828091070940e-01 3.699420226339224516e-01 8.673755944136121165e-01
7.823730217370629125e-01 3.699714285189462659e-01 8.923057408180841144e-01
7.830784905737889767e-01 3.497486008508014499e-01 1.689770807744757075e+00
8.026110990901144104e-01 3.497186298278876504e-01 1.649700327076763173e+00
7.921872113383490177e-01 3.699535459972505547e-01 8.783552839770008003e-01
7.827660761195041061e-01 3.598727390446173624e-01 1.309107367078399031e+00
7.928412585076007879e-01 3.497280699836528006e-01 1.667505524808307493e+00
8.023435793859629017e-01 3.598420481530378301e-01 1.276474444416781484e+00
7.925516582989052816e-01 3.598530632527082163e-01 1.290990325243993597e+00
7.813449366396908458e-01 3.900715235912276535e-01 1.697969098461077353e-01
7.615688515854711627e-01 3.901033605321646558e-01 1.816236637806789567e-01
7.627532487148802609e-01 3.700309667619530174e-01 9.302793396754943656e-01
