x y mesh_s
2.130403590008890513e-01 2.566992511278198275e-01 9.999999999999995559e-01
2.179159778782446544e-01 2.526984658041261378e-01 1.000000000000000000e+00
2.199819526115602830e-01 2.458336299321809137e-01 1.000000000000000000e+00
2.122952584994672875e-01 2.484646941531350184e-01 1.000000000000000000e+00
2.189488633608434598e-01 2.493309943127405837e-01 1.000000000000000444e+00
2.161386056130859545e-01 2.473238356404282023e-01 9.999999999999997780e-01
2.151056749228341114e-01 2.505497273968076977e-01 9.999999999999995559e-01
1.907809261223736008e-01 3.452210345075162334e-01 1.000000000000000000e+00
1.771722500291428304e-01 3.475022331007602827e-01 1.000000000000000000e+00
1.892679939399531386e-01 3.675796496269041480e-01 1.000000000000000000e+00
1.839766591144076924e-01 3.463613483021844575e-01 1.000000000000000444e+00
1.832199400113329046e-01 3.575416745689377063e-01 9.999999999999997780e-01
1.900243200002909583e-01 3.564009275521617393e-01 9.999999999999995559e-01
1.786867494703076320e-01 3.251373251423481658e-01 1.000000000000000000e+00
1.907809261223736008e-01 3.452210345075162334e-01 1.000000000000000000e+00
1.922952324185719930e-01 3.228567502674057343e-01 1.000000000000000000e+00
1.847336841510504313e-01 3.351797687275586135e-01 1.000000000000000444e+00
1.915378758554754923e-01 3.340397158008648337e-01 9.999999999999997780e-01
1.854910682392971188e-01 3.239967333453521725e-01 9.999999999999995559e-01
1.786867494703076320e-01 3.251373251423481658e-01 1.000000000000000000e+00
1.862954912771332683e-01 3.103977650128078025e-01 1.000000000000000000e+00
1.922952324185719930e-01 3.228567502674057343e-01 1.000000000000000000e+00
1.824910533401078727e-01 3.177678227289796320e-01 1.000000000000000444e+00
1.892953071832897405e-01 3.166274597326720341e-01 9.999999999999997780e-01
1.854910682392971188e-01 3.239967333453521725e-01 9.999999999999995559e-01
1.862954912771332683e-01 3.103977650128078025e-01 1.000000000000000000e+00
1.939049295124582462e-01 2.956553721390327572e-01 1.000000000000000000e+00
1.999037253819848092e-01 3.081180367377809870e-01 1.000000000000000000e+00
1.901001020720151924e-01 3.030270042101140815e-01 1.000000000000000444e+00
1.969042790099556073e-01 3.018868756763588568e-01 9.999999999999997780e-01
1.930996970262152668e-01 3.092575606639471064e-01 9.999999999999995559e-01
1.939049295124582462e-01 2.956553721390327572e-01 1.000000000000000000e+00
1.992024200674701317e-01 2.831987784010618348e-01 1.000000000000000000e+00
2.052003221001540423e-01 2.956648353515978767e-01 1.000000000000000000e+00
1.965535666436585283e-01 2.894274960543809505e-01 1.000000000000000444e+00
2.022013322140739089e-01 2.894319353371519465e-01 9.999999999999997780e-01
1.995527019896569387e-01 2.956598108187650231e-01 9.999999999999995559e-01
1.992024200674701317e-01 2.831987784010618348e-01 1.000000000000000000e+00
2.045009038097529985e-01 2.707383664691261349e-01 1.000000000000000000e+00
2.104977869210152563e-01 2.832082103316558852e-01 1.000000000000000000e+00
2.018515255853604307e-01 2.769690903961730122e-01 1.000000000000000444e+00
2.074993232647299735e-01 2.769733527382390870e-01 9.999999999999997780e-01
