x y mesh_f
2.926907795778949661e-01 4.100000028232084759e-01 1.000000000000000000e+00
3.427154030607059143e-01 3.384573860235907672e-01 1.000000000000000000e+00
2.788084221021480680e-01 3.695558791832673773e-01 1.000000000000000444e+00
3.177030918475081678e-01 3.742286934235918294e-01 9.999999999999997780e-01
3.038207370699012588e-01 3.337845719742030259e-01 9.999999999999995559e-01
2.707106819681390220e-01 2.707106816696584484e-01 1.000000000000000000e+00
2.707107236527254157e-01 2.355150746595978950e-01 1.000000000000000000e+00
2.353552885192272959e-01 2.353553028503749256e-01 1.000000000000000000e+00
2.707106792447095400e-01 2.531128600856077382e-01 1.000000000000000444e+00
2.530330094973555211e-01 2.354351896938182698e-01 9.999999999999997780e-01
2.530330089365063206e-01 2.530330089300594776e-01 9.999999999999995559e-01
2.649260662284969037e-01 3.291117566885510271e-01 1.000000000000000000e+00
3.104527059273390899e-01 2.905594503874502355e-01 1.000000000000000000e+00
3.427154030607059143e-01 3.384573860235907672e-01 1.000000000000000000e+00
2.876893832244538096e-01 3.098356012516376157e-01 1.000000000000000444e+00
3.265840518034371365e-01 3.145084154460542902e-01 9.999999999999997780e-01
3.038207370699012588e-01 3.337845719742030259e-01 9.999999999999995559e-01
2.707106819681390220e-01 2.707106816696584484e-01 1.000000000000000000e+00
3.020857839594224825e-01 2.452700867301071119e-01 1.000000000000000000e+00
2.707107236527254157e-01 2.355150746595978950e-01 1.000000000000000000e+00
2.863982536511091581e-01 2.579903989886968563e-01 1.000000000000000444e+00
2.863982554062787789e-01 2.403925809984508999e-01 9.999999999999997780e-01
2.707106792447093180e-01 2.531128600856075161e-01 9.999999999999995559e-01
3.104527059273390899e-01 2.905594503874502355e-01 1.000000000000000000e+00
3.540893051940688929e-01 2.589216061639046940e-01 1.000000000000000000e+00
3.427154030607059143e-01 3.384573860235907672e-01 1.000000000000000000e+00
3.322710039628236078e-01 2.747405273706634010e-01 1.000000000000000444e+00
3.484023655934625485e-01 2.986895036758330235e-01 9.999999999999997780e-01
3.265840518034370255e-01 3.145084154460541792e-01 9.999999999999995559e-01
2.707106819681390220e-01 2.707106816696584484e-01 1.000000000000000000e+00
3.104527059273390899e-01 2.905594503874502355e-01 1.000000000000000000e+00
3.020857839594224825e-01 2.452700867301071119e-01 1.000000000000000000e+00
2.905816890723493251e-01 2.806350622270751272e-01 1.000000000000000444e+00
3.062692622681371657e-01 2.679147812155774355e-01 9.999999999999997780e-01
2.863982536511089361e-01 2.579903989886966342e-01 9.999999999999995559e-01
3.104527059273390899e-01 2.905594503874502355e-01 1.000000000000000000e+00
3.020857839594224825e-01 2.452700867301071119e-01 1.000000000000000000e+00
3.540893051940688929e-01 2.589216061639046940e-01 1.000000000000000000e+00
3.062692622681372767e-01 2.679147812155775465e-01 1.000000000000000444e+00
3.280875738112611906e-01 2.520958679415867265e-01 9.999999999999997780e-01
3.322710039628232748e-01 2.747405273706631790e-01 9.999999999999995559e-01
3.020857839594224825e-01 2.452700867301071119e-01 1.000000000000000000e+00
