x y mesh_s
5.410822246387143597e-01 2.100000018468350937e-01 0.000000000000000000e+00
5.744360346017096663e-01 1.900000005820544347e-01 0.000000000000000000e+00
5.744360443028586616e-01 2.100000029151972702e-01 0.000000000000000000e+00
5.577591271393240735e-01 2.000000001174858100e-01 0.000000000000000000e+00
5.744360326462986110e-01 1.999999996031800731e-01 0.000000000000000000e+00
5.577591330090135857e-01 2.100000021374803794e-01 0.000000000000000000e+00
5.744360346017096663e-01 1.900000005820544347e-01 0.000000000000000000e+00
5.999999927816878076e-01 1.899999982676495169e-01 0.000000000000000000e+00
5.744360443028586616e-01 2.100000029151972702e-01 0.000000000000000000e+00
5.872180089971954509e-01 1.899999973640940365e-01 0.000000000000000000e+00
5.872180282077273938e-01 2.000000036668843351e-01 0.000000000000000000e+00
5.744360326462985000e-01 1.999999996031800176e-01 0.000000000000000000e+00
5.999999915483278379e-01 2.099999972342206367e-01 0.000000000000000000e+00
5.999999927816878076e-01 1.899999982676495169e-01 0.000000000000000000e+00
5.744360443028586616e-01 2.100000029151972702e-01 0.000000000000000000e+00
5.999999983851441732e-01 1.999999994961467742e-01 0.000000000000000000e+00
5.872180282077273938e-01 2.000000036668843351e-01 0.000000000000000000e+00
5.872180170306445790e-01 2.100000000880257178e-01 0.000000000000000000e+00
