x y p
1.241280215312689839e+00 3.971137004697664064e-01 1.288213487822750913e+01
1.255980289048905352e+00 3.971136878537464554e-01 1.337346919936558720e+01
1.276104299622991878e+00 3.842280025232497342e-01 1.279464370267175433e+01
1.246702607412759178e+00 3.842281514398456777e-01 1.517054794623700431e+01
1.257556135455420332e+00 3.584593275411337432e-01 2.230138191121277913e+01
1.261403553526455390e+00 3.842280411788069339e-01 1.509920594527603477e+01
1.252127815776598707e+00 3.713433687368459246e-01 1.845404671234568994e+01
1.266829667635943624e+00 3.713430971124450641e-01 1.814607434505785122e+01
1.286961273510756731e+00 3.584586009159885234e-01 2.087263313177431101e+01
1.257556135455420332e+00 3.584593275411337432e-01 2.230138191121277913e+01
1.268422962077446092e+00 3.326932556996139989e-01 3.512048691871820694e+01
1.272258879218930216e+00 3.584588543315798126e-01 2.271679166569306929e+01
1.262987794411650322e+00 3.455759776574485742e-01 2.772115400863279788e+01
1.277691383599663277e+00 3.455752859743084215e-01 2.913852264622336463e+01
1.268422962077446092e+00 3.326932556996139989e-01 3.512048691871820694e+01
1.298137372127944111e+00 3.326991093020761348e-01 3.781704505520503545e+01
1.279610400242621182e+00 3.069366805250229868e-01 5.819184434483689472e+01
1.283280380968049528e+00 3.326959859352692783e-01 3.817748744509428604e+01
1.288872941743012035e+00 3.198172653887805805e-01 4.976409969728924665e+01
1.274014821479658721e+00 3.198147227681453764e-01 4.614499042230715276e+01
1.279610400242621182e+00 3.069366805250229868e-01 5.819184434483689472e+01
1.309327459440343677e+00 3.069420000856698527e-01 5.996770922150767547e+01
1.290914554320123697e+00 2.812812923695777734e-01 7.347046161479123327e+01
1.294469139902487687e+00 3.069390741592440963e-01 6.138127752836855677e+01
1.300119870789305132e+00 2.941110921579168647e-01 6.996854705348563641e+01
1.285260595808154438e+00 2.941087959460452761e-01 6.821884226246473304e+01
1.290914554320123697e+00 2.812812923695777734e-01 7.347046161479123327e+01
1.320633668854511722e+00 2.812864095525951513e-01 5.633452029156067198e+01
1.302233773848836318e+00 2.556272804748609406e-01 3.851192454739521764e+01
1.305774290923001013e+00 2.812835440895707362e-01 7.115190119311795058e+01
1.311432412927903135e+00 2.684563915740610374e-01 6.232040598253639985e+01
1.296572281636805934e+00 2.684541309773604834e-01 6.375688686057328169e+01
1.213513645375433381e+00 0.000000000000000000e+00 -2.794901842895218351e+02
1.200690871206537169e+00 2.551256820032250447e-02 -2.828159755441779453e+02
1.231325905266395404e+00 2.551117013777461778e-02 -2.876828696428142393e+02
1.207099272490413711e+00 1.275650346035601089e-02 -2.790009438956421377e+02
1.216008154034072142e+00 2.551179366467857743e-02 -2.910136362911064793e+02
1.222415878620414453e+00 1.275624797345952313e-02 -2.822641341144694707e+02
1.235860270025486596e+00 4.099999999999999756e-01 1.172077844303544403e+01
1.246702607412759178e+00 3.842281514398456777e-01 1.517054794623700431e+01
1.217299775540815698e+00 3.842286604788687221e-01 8.890064052184495580e+00
1.241280215312689839e+00 3.971137004697664064e-01 1.288213487822750913e+01
1.232001381317437749e+00 3.842283509366669070e-01 1.316453942475724048e+01
1.226579994804706697e+00 3.971137404613808708e-01 1.001323204787895804e+01
1.246702607412759178e+00 3.842281514398456777e-01 1.517054794623700431e+01
1.228149060852572916e+00 3.584611651737052984e-01 1.750136698152615367e+01
1.257556135455420332e+00 3.584593275411337432e-01 2.230138191121277913e+01
1.237425572422781839e+00 3.713438154638843414e-01 1.675488344290669929e+01
1.242852915184947671e+00 3.584600759696830452e-01 2.044663851723535331e+01
1.252127815776598707e+00 3.713433687368459246e-01 1.845404671234568994e+01
1.257556135455420332e+00 3.584593275411337432e-01 2.230138191121277913e+01
1.268422962077446092e+00 3.326932556996139989e-01 3.512048691871820694e+01
1.239012364326251170e+00 3.326966369910916987e-01 2.352484547191913222e+01
1.262987794411650322e+00 3.455759776574485742e-01 2.772115400863279788e+01
1.253718032335864541e+00 3.326946457856256867e-01 2.978303057381536334e+01
1.248283671984701249e+00 3.455770501952644680e-01 2.409607176679453389e+01
1.268422962077446092e+00 3.326932556996139989e-01 3.512048691871820694e+01
1.249891086131924345e+00 3.069340765922211056e-01 3.558846660708862686e+01
1.279610400242621182e+00 3.069366805250229868e-01 5.819184434483689472e+01
1.259156124966126500e+00 3.198127706859951180e-01 3.732656402074116642e+01
1.264751104947591243e+00 3.069349591604617067e-01 4.724044900532839364e+01
1.274014821479658721e+00 3.198147227681453764e-01 4.614499042230715276e+01
1.279610400242621182e+00 3.069366805250229868e-01 5.819184434483689472e+01
1.290914554320123697e+00 2.812812923695777734e-01 7.347046161479123327e+01
1.261193552975627519e+00 2.812793231939479388e-01 5.093911824346584183e+01
1.285260595808154438e+00 2.941087959460452761e-01 6.821884226246473304e+01
1.276054352409609960e+00 2.812798196737042455e-01 6.405081356671405501e+01
1.270400804033917641e+00 2.941072352109911914e-01 5.728648805816738587e+01
1.290914554320123697e+00 2.812812923695777734e-01 7.347046161479123327e+01
1.272511723609388579e+00 2.556252659329816823e-01 1.382371926401219220e+01
1.302233773848836318e+00 2.556272804748609406e-01 3.851192454739521764e+01
1.281711744188545721e+00 2.684526724919077401e-01 5.816466577888341050e+01
1.287372963940079940e+00 2.556257658906567198e-01 3.092326404612359880e+01
1.296572281636805934e+00 2.684541309773604834e-01 6.375688686057328169e+01
1.271967137184314200e+00 1.276107427334297328e-01 -2.867177868066901283e+02
1.302442792713736974e+00 1.276189045063713390e-01 -1.881347592068071322e+02
1.289852157803866639e+00 1.531832613098119134e-01 -1.813202213072926838e+02
