x y solution_f
2.276594286635908460e-01 2.419209366184890686e-01 -1.755431079758503843e-04
2.227942235288725981e-01 2.479623029722538008e-01 1.024595867225590179e-01
2.266325825386011350e-01 2.460069191426158541e-01 1.305455451917089671e-01
2.238210696538623090e-01 2.438763204481270153e-01 3.133607504594291323e-04
2.028726108711706722e-01 3.652915168978345672e-01 2.250380686106436379e+00
1.892661804259240799e-01 3.675713242764575006e-01 2.094019675418179460e+00
2.013631869526588125e-01 3.876467150369138914e-01 1.645443625481892047e+00
1.960693956485473621e-01 3.664314205871460617e-01 2.173044525216067502e+00
1.953146836892914462e-01 3.776090196566856960e-01 1.884083975203688865e+00
2.021178989119147285e-01 3.764691159673742016e-01 1.962542263032008183e+00
1.907797291391070127e-01 3.452067907057075891e-01 2.639590990485702893e+00
2.028726108711706722e-01 3.652915168978345672e-01 2.250380686106436379e+00
2.043844522092491400e-01 3.429308790841882337e-01 2.794744850355079357e+00
1.968261700051388563e-01 3.552491538017710782e-01 2.450561067436362261e+00
2.036285315402099061e-01 3.541111979910114282e-01 2.527300421513853479e+00
1.975820906741780902e-01 3.440688348949478836e-01 2.718413229082480509e+00
1.922951697176462638e-01 3.228380806942036663e-01 3.147066925401734050e+00
2.043844522092491400e-01 3.429308790841882337e-01 2.794744850355079357e+00
2.058999410443845268e-01 3.205620366732869209e-01 3.301853374228683968e+00
1.983398109634477158e-01 3.328844798891959500e-01 2.976990077606335383e+00
2.051421966268168195e-01 3.317464578787375773e-01 3.052894780580903689e+00
1.990975553810153953e-01 3.217000586837452936e-01 3.226668218000729560e+00
1.922951697176462638e-01 3.228380806942036663e-01 3.147066925401734050e+00
1.999034086840252855e-01 3.080981451541364158e-01 3.518570638441130161e+00
2.058999410443845268e-01 3.205620366732869209e-01 3.301853374228683968e+00
1.960992892008357746e-01 3.154681129241700410e-01 3.334681245677538985e+00
2.029016748642049062e-01 3.143300909137116683e-01 3.411894213769593343e+00
1.990975553810153953e-01 3.217000586837452936e-01 3.226668218000729560e+00
1.999034086840252855e-01 3.080981451541364158e-01 3.518570638441130161e+00
2.052002532036939497e-01 2.956446312979010282e-01 3.810061163004191620e+00
2.111956396362184296e-01 3.081108459472690075e-01 3.597655658132063561e+00
2.025518309438596176e-01 3.018713882260187220e-01 3.666148334734075309e+00
2.081979464199562035e-01 3.018777386225850456e-01 3.704671208590544218e+00
2.055495241601218437e-01 3.081044955507027394e-01 3.560310678448740607e+00
2.052002532036939497e-01 2.956446312979010282e-01 3.810061163004191620e+00
2.104979406964509192e-01 2.831886871482030554e-01 4.080864131609896361e+00
2.164924024948516046e-01 2.956580153634818520e-01 3.872415634798286987e+00
2.078490969500724206e-01 2.894166592230520418e-01 3.949126646232578253e+00
2.134951715956512619e-01 2.894233512558424537e-01 3.976252160565172389e+00
2.108463278492727633e-01 2.956513233306914401e-01 3.843882451836977854e+00
2.104979406964509192e-01 2.831886871482030554e-01 4.080864131609896361e+00
2.157965387103986388e-01 2.707363610385208896e-01 4.154239789865792787e+00
2.217905833715575481e-01 2.831990741974174663e-01 4.111675814340871149e+00
2.131472397034247790e-01 2.769625240933619725e-01 4.194540565079731387e+00
2.187935610409780796e-01 2.769677176179691780e-01 4.191653562008470502e+00
2.161442620340042198e-01 2.831938806728102609e-01 4.098795780688277546e+00
2.157965387103986388e-01 2.707363610385208896e-01 4.154239789865792787e+00
2.214715337902793402e-01 2.643711735537530583e-01 3.088218526814867193e+00
